Source Name	Comment [GEOAccession]	Comment [RegenAccession]	Comment [Sample Group Code]	Comment [Sample Group Name]	Comment [Summarized Expression Unit]	Characteristics [Organism]	Term Source REF	Term Accession Number	Comment[sample type]	Characteristics [Organism Part]	Term Source REF	Term Accession Number	Characteristics [Developmental Stage]	Term Source REF	Term Accession Number	Characteristics [Strain]	Comment [Sample_description]	Comment [Sample_source_name]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Protocol REF	Derived Array Data Matrix File	Factor Value [Time]	Unit [TimeUnit]	Factor Value [Tissue Class]	Factor Value [Organism Part]
GSM1653171	GSM1653171	REGENS:497	DPI00_CTRL	Control	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Heart samples from control (not injured) zebrafish	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles uninjured	Zebrafish heart ventricles uninjured	P-GSE67665-2	"heart ventricles at T0, biological rep1"	P-GSE67665-4	GSM1653171 extract 1	total RNA	P-GSE67665-5	GSM1653171 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653171	A-GEOD-16933	P-GSE67665-7	GSM1653171.CEL	GSM1653171_Sham3-C1_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt			heart	heart
GSM1653172	GSM1653172	REGENS:498	DPI00_CTRL	Control	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Heart samples from control (not injured) zebrafish	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles uninjured	Zebrafish heart ventricles uninjured	P-GSE67665-2	"heart ventricles at T0, biological rep2"	P-GSE67665-4	GSM1653172 extract 1	total RNA	P-GSE67665-5	GSM1653172 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653172	A-GEOD-16933	P-GSE67665-7	GSM1653172.CEL	GSM1653172_Sham3-C2_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt			heart	heart
GSM1653173	GSM1653173	REGENS:499	DPI00_CTRL	Control	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Heart samples from control (not injured) zebrafish	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles uninjured	Zebrafish heart ventricles uninjured	P-GSE67665-2	"heart ventricles at T0, biological rep3"	P-GSE67665-4	GSM1653173 extract 1	total RNA	P-GSE67665-5	GSM1653173 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653173	A-GEOD-16933	P-GSE67665-7	GSM1653173.CEL	GSM1653173_Sham3-C3_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt			heart	heart
GSM1653174	GSM1653174	REGENS:500	DPI00_FOURHPI	4 HRS PI	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Zebrafish regenerating heart 4 hours post-injury	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles 4 hours after injury	Zebrafish heart ventricles 4 hours after injury	P-GSE67665-2	"heart ventricles at T4h post-injury, biological rep1"	P-GSE67665-4	GSM1653174 extract 1	total RNA	P-GSE67665-5	GSM1653174 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653174	A-GEOD-16933	P-GSE67665-7	GSM1653174.CEL	GSM1653174_2_CI-4H_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt	4	hours	heart	heart
GSM1653175	GSM1653175	REGENS:501	DPI00_FOURHPI	4 HRS PI	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Zebrafish regenerating heart 4 hours post-injury	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles 4 hours after injury	Zebrafish heart ventricles 4 hours after injury	P-GSE67665-2	"heart ventricles at T4h post-injury, biological rep2"	P-GSE67665-4	GSM1653175 extract 1	total RNA	P-GSE67665-5	GSM1653175 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653175	A-GEOD-16933	P-GSE67665-7	GSM1653175.CEL	GSM1653175_3_CI-4H_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt	4	hours	heart	heart
GSM1653176	GSM1653176	REGENS:502	DPI00_FOURHPI	4 HRS PI	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Zebrafish regenerating heart 4 hours post-injury	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles 4 hours after injury	Zebrafish heart ventricles 4 hours after injury	P-GSE67665-2	"heart ventricles at T4h post-injury, biological rep3"	P-GSE67665-4	GSM1653176 extract 1	total RNA	P-GSE67665-5	GSM1653176 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653176	A-GEOD-16933	P-GSE67665-7	GSM1653176.CEL	GSM1653176_4_CI-4H_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt	4	hours	heart	heart
GSM1653177	GSM1653177	REGENS:503	DPI01	1 DPI	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Zebrafish regenerating heart 1 day post-injury	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles 1 day after injury	Zebrafish heart ventricles 1 day after injury	P-GSE67665-2	"heart ventricles at T1d post-injury, biological rep1"	P-GSE67665-4	GSM1653177 extract 1	total RNA	P-GSE67665-5	GSM1653177 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653177	A-GEOD-16933	P-GSE67665-7	GSM1653177.CEL	GSM1653177_1_CI-1D_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt	1	days	heart	heart
GSM1653178	GSM1653178	REGENS:504	DPI01	1 DPI	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Zebrafish regenerating heart 1 day post-injury	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles 1 day after injury	Zebrafish heart ventricles 1 day after injury	P-GSE67665-2	"heart ventricles at T1d post-injury, biological rep2"	P-GSE67665-4	GSM1653178 extract 1	total RNA	P-GSE67665-5	GSM1653178 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653178	A-GEOD-16933	P-GSE67665-7	GSM1653178.CEL	GSM1653178_2_CI-1D_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt	1	days	heart	heart
GSM1653179	GSM1653179	REGENS:505	DPI01	1 DPI	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Zebrafish regenerating heart 1 day post-injury	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles 1 day after injury	Zebrafish heart ventricles 1 day after injury	P-GSE67665-2	"heart ventricles at T1d post-injury, biological rep3"	P-GSE67665-4	GSM1653179 extract 1	total RNA	P-GSE67665-5	GSM1653179 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653179	A-GEOD-16933	P-GSE67665-7	GSM1653179.CEL	GSM1653179_4_CI-1D_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt	1	days	heart	heart
GSM1653180	GSM1653180	REGENS:506	DPI03	3 DPI	log(intensity)	Danio rerio	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_7955	Zebrafish regenerating heart 3 days post-injury	heart ventricle	EFO	http://purl.obolibrary.org/obo/UBERON_0002082	adult	EFO	EFO_0001272	TU	Gene expression data from Zebrafish heart ventricles 3 days after injury	Zebrafish heart ventricles 3 days after injury	P-GSE67665-2	"heart ventricles at T3d post-injury, biological rep1"	P-GSE67665-4	GSM1653180 extract 1	total RNA	P-GSE67665-5	GSM1653180 LE 1	biotin	unknown	P-GSE67665-7	P-GSE67665-8	GSM1653180	A-GEOD-16933	P-GSE67665-7	GSM1653180.CEL	GSM1653180_1_CI-3D_ZebGene-1_0-st_.CEL	P-GSE67665-1	E-GEOD-17993-processed-data-2201367640.txt	3	days	heart	heart
